movie,emotion,tp_mean,non_tp_mean,diff,ratio
Die Hard,anger,0.07203210890293121,0.1414755880832672,-0.069443479180336,0.5091486573219299
Die Hard,disgust,0.10921092331409454,0.08136806637048721,0.02784285694360733,1.342184066772461
Die Hard,fear,0.25590819120407104,0.1616828739643097,0.09422531723976135,1.5827785730361938
Die Hard,joy,0.014243269339203835,0.022505521774291992,-0.008262252435088158,0.6328788995742798
Die Hard,neutral,0.24236781895160675,0.3302896022796631,-0.08792178332805634,0.7338039875030518
Die Hard,sadness,0.045409273356199265,0.05716706067323685,-0.011757787317037582,0.7943258285522461
Die Hard,surprise,0.2608283460140228,0.20551130175590515,0.055317044258117676,1.2691679000854492
The Breakfast Club,anger,0.48509708046913147,0.272678405046463,0.21241867542266846,1.7790080308914185
The Breakfast Club,disgust,0.1502908319234848,0.16322799026966095,-0.012937158346176147,0.9207417964935303
The Breakfast Club,fear,0.11126932501792908,0.029866613447666168,0.08140271157026291,3.7255420684814453
The Breakfast Club,joy,0.022742077708244324,0.07407473027706146,-0.05133265256881714,0.3070153295993805
The Breakfast Club,neutral,0.06965571641921997,0.23551489412784576,-0.1658591777086258,0.29575929045677185
The Breakfast Club,sadness,0.0401402972638607,0.05508958175778389,-0.014949284493923187,0.7286368012428284
The Breakfast Club,surprise,0.12080468982458115,0.16954781115055084,-0.048743121325969696,0.7125110626220703
Moon (film),anger,0.09066493809223175,0.12724202871322632,-0.03657709062099457,0.7125392556190491
Moon (film),disgust,0.06029750779271126,0.12506914138793945,-0.0647716373205185,0.48211339116096497
Moon (film),fear,0.0519382543861866,0.10454508662223816,-0.05260683223605156,0.4968024492263794
Moon (film),joy,0.0040522487834095955,0.030656293034553528,-0.026604045182466507,0.1321832537651062
Moon (film),neutral,0.4662243723869324,0.4094768166542053,0.05674755573272705,1.1385855674743652
Moon (film),sadness,0.009360392577946186,0.05757205933332443,-0.04821166768670082,0.16258567571640015
Moon (film),surprise,0.31746232509613037,0.14543859660625458,0.1720237284898758,2.182792901992798
Slumdog Millionaire,anger,0.20640774071216583,0.1841583251953125,0.022249415516853333,1.1208168268203735
Slumdog Millionaire,disgust,0.1723523586988449,0.10979399085044861,0.0625583678483963,1.5697795152664185
Slumdog Millionaire,fear,0.028699487447738647,0.13320036232471466,-0.10450087487697601,0.21546103060245514
Slumdog Millionaire,joy,0.09143397212028503,0.05297460779547691,0.03845936432480812,1.7259962558746338
Slumdog Millionaire,neutral,0.2811824679374695,0.31169450283050537,-0.03051203489303589,0.9021091461181641
Slumdog Millionaire,sadness,0.025124307721853256,0.053497735410928726,-0.02837342768907547,0.4696331024169922
Slumdog Millionaire,surprise,0.19479963183403015,0.1546805053949356,0.04011912643909454,1.2593677043914795
Panic Room,anger,0.29649677872657776,0.14380685985088348,0.15268991887569427,2.0617706775665283
Panic Room,disgust,0.11693061888217926,0.14198769629001617,-0.025057077407836914,0.8235264420509338
Panic Room,fear,0.08188736438751221,0.2521284222602844,-0.17024105787277222,0.3247843384742737
Panic Room,joy,0.004020551685243845,0.006410663481801748,-0.0023901117965579033,0.627166211605072
Panic Room,neutral,0.3833439350128174,0.2367265522480011,0.14661738276481628,1.6193532943725586
Panic Room,sadness,0.027794262394309044,0.046999573707580566,-0.019205311313271523,0.5913726687431335
Panic Room,surprise,0.08952648937702179,0.17194025218486786,-0.08241376280784607,0.5206837058067322
Unforgiven,anger,0.08555857837200165,0.1925206184387207,-0.10696204006671906,0.44441255927085876
Unforgiven,disgust,0.34168657660484314,0.17417758703231812,0.16750898957252502,1.9617137908935547
Unforgiven,fear,0.16133160889148712,0.2224980890750885,-0.06116648018360138,0.7250921130180359
Unforgiven,joy,0.18111465871334076,0.031054679304361343,0.15005998313426971,5.8321213722229
Unforgiven,neutral,0.1244678944349289,0.15095502138137817,-0.02648712694644928,0.8245363235473633
Unforgiven,sadness,0.04478565603494644,0.09870381653308868,-0.05391816049814224,0.4537378251552582
Unforgiven,surprise,0.0610550120472908,0.13009020686149597,-0.06903519481420517,0.46932828426361084
The Crying Game,anger,0.23742997646331787,0.1504727005958557,0.08695727586746216,1.5778940916061401
The Crying Game,disgust,0.3889988362789154,0.20884282886981964,0.18015600740909576,1.8626391887664795
The Crying Game,fear,0.07453237473964691,0.13449594378471375,-0.059963569045066833,0.5541607737541199
The Crying Game,joy,0.0051770517602562904,0.04350174590945244,-0.03832469508051872,0.119007907807827
The Crying Game,neutral,0.19552010297775269,0.2871086001396179,-0.09158849716186523,0.6809970140457153
The Crying Game,sadness,0.033676326274871826,0.057813555002212524,-0.024137228727340698,0.5824987888336182
The Crying Game,surprise,0.0646652951836586,0.11776463687419891,-0.053099341690540314,0.549106240272522
Juno (film),anger,0.09412970393896103,0.11761534959077835,-0.023485645651817322,0.80031818151474
Juno (film),disgust,0.14600804448127747,0.20649708807468414,-0.06048904359340668,0.7070707082748413
Juno (film),fear,0.08521850407123566,0.08643294870853424,-0.001214444637298584,0.9859492778778076
Juno (film),joy,0.02454156056046486,0.05677642300724983,-0.03223486244678497,0.43224915862083435
Juno (film),neutral,0.37685853242874146,0.32580506801605225,0.05105346441268921,1.1566994190216064
Juno (film),sadness,0.033556535840034485,0.057496458292007446,-0.02393992245197296,0.5836278796195984
Juno (film),surprise,0.23968708515167236,0.14937663078308105,0.09031045436859131,1.6045821905136108
